seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio
151,seasonal-shift,2012-06-06,5480000,full-refresh,0,3352944.633565,3352944.633565,0.0,0.0,1.0,0.0,0.0,947,3352944.633565,0.0,1.0,1.0,1.0
151,seasonal-shift,2012-06-06,7550000,full-refresh,0,4538063.556612,4538063.556612,0.0,0.0,1.0,0.0,0.0,1304,4538063.556612,0.0,1.0,1.0,1.0
151,complaint-heavy,2012-06-13,2760000,base-stale,0,1747683.141309,1747683.141309,0.0,0.0,1.0,0.0,0.0,464,1747683.141309,0.0,0.0,1.0,0.0
151,complaint-heavy,2012-06-13,5480000,base-stale,0,3303799.958623,3303799.958623,0.0,0.0,1.0,0.0,0.0,885,3303799.958623,0.0,0.0,1.0,0.0
151,complaint-heavy,2012-06-13,7550000,base-stale,0,4461964.762101,4461964.762101,0.0,0.0,1.0,0.0,0.0,1196,4461964.762101,0.0,0.0,1.0,0.0
151,complaint-heavy,2012-06-13,2760000,base-stale,1,1736739.647575,1747683.141309,10943.493734,0.006262,0.913793,0.089474,0.0,460,1744825.184962,2857.956347,0.738844,0.998365,0.0268
151,complaint-heavy,2012-06-13,5480000,base-stale,1,3290579.277854,3303799.958623,13220.680769,0.004002,0.929944,0.075908,0.0,875,3307484.976722,-3685.018099,1.278731,1.001115,0.0268
151,complaint-heavy,2012-06-13,7550000,base-stale,1,4450608.71188,4461964.762101,11356.050221,0.002545,0.91806,0.093056,0.0,1192,4467466.324132,-5501.562031,1.484461,1.001233,0.0268
151,complaint-heavy,2012-06-13,2760000,base-stale,3,1735169.474192,1747683.141309,12513.667117,0.00716,0.903017,0.094737,0.0,460,1740326.609056,7356.532253,0.41212,0.995791,0.0309
151,complaint-heavy,2012-06-13,2760000,stronger-but-stale,3,1708557.316506,1747683.141309,39125.824803,0.022387,0.786638,0.202632,0.0,448,,,,,
151,complaint-heavy,2012-06-13,2760000,weaker-but-fresh,0,1758098.860122,1747683.141309,-10415.718813,-0.00596,0.668103,0.373684,0.0,448,,,,,
151,complaint-heavy,2012-06-13,5480000,base-stale,3,3291270.535444,3303799.958623,12529.423179,0.003792,0.918644,0.084158,0.0,877,3308078.749173,-4278.79055,1.341499,1.001295,0.0309
151,complaint-heavy,2012-06-13,5480000,stronger-but-stale,3,3274711.550749,3303799.958623,29088.407874,0.008805,0.80791,0.174917,0.0,869,,,,,
151,complaint-heavy,2012-06-13,5480000,weaker-but-fresh,0,3294065.608175,3303799.958623,9734.350448,0.002946,0.751412,0.229373,0.0,863,,,,,
151,complaint-heavy,2012-06-13,7550000,base-stale,3,4447904.394726,4461964.762101,14060.367375,0.003151,0.910535,0.101389,0.0,1188,4466497.176217,-4532.414116,1.322354,1.001016,0.0309
151,complaint-heavy,2012-06-13,7550000,stronger-but-stale,3,4445212.772634,4461964.762101,16751.989467,0.003754,0.83612,0.148611,0.0,1187,,,,,
151,complaint-heavy,2012-06-13,7550000,weaker-but-fresh,0,4461506.414114,4461964.762101,458.347987,0.000103,0.773411,0.176389,0.0,1172,,,,,
151,complaint-heavy,2012-06-13,2760000,base-stale,7,1724083.533076,1747683.141309,23599.608233,0.013503,0.890086,0.1,0.004338,461,1734438.194785,13244.946524,0.438764,0.992421,0.0373
151,complaint-heavy,2012-06-13,5480000,base-stale,7,3291112.244582,3303799.958623,12687.714041,0.00384,0.902825,0.09736,0.002281,877,3305498.738352,-1698.779729,1.133892,1.000514,0.0373
151,complaint-heavy,2012-06-13,7550000,base-stale,7,4444117.827113,4461964.762101,17846.934988,0.004,0.892977,0.115278,0.001689,1184,4463190.878576,-1226.116475,1.068702,1.000275,0.0373
151,complaint-heavy,2012-06-13,2760000,full-refresh,0,1747683.141309,1747683.141309,0.0,0.0,1.0,0.0,0.0,464,1747683.141309,0.0,1.0,1.0,1.0
151,complaint-heavy,2012-06-13,5480000,full-refresh,0,3303799.958623,3303799.958623,0.0,0.0,1.0,0.0,0.0,885,3303799.958623,0.0,1.0,1.0,1.0
151,complaint-heavy,2012-06-13,7550000,full-refresh,0,4461964.762101,4461964.762101,0.0,0.0,1.0,0.0,0.0,1196,4461964.762101,0.0,1.0,1.0,1.0
151,promotion-heavy,2012-06-13,2760000,base-stale,0,1903732.257858,1903732.257858,0.0,0.0,1.0,0.0,0.0,494,1903732.257858,0.0,0.0,1.0,0.0
151,promotion-heavy,2012-06-13,5480000,base-stale,0,3516833.082871,3516833.082871,0.0,0.0,1.0,0.0,0.0,984,3516833.082871,0.0,0.0,1.0,0.0
151,promotion-heavy,2012-06-13,7550000,base-stale,0,4708237.114246,4708237.114246,0.0,0.0,1.0,0.0,0.0,1361,4708237.114246,0.0,0.0,1.0,0.0
151,promotion-heavy,2012-06-13,2760000,base-stale,1,1890251.397352,1903732.257858,13480.860506,0.007081,0.92915,0.075472,0.0,489,1904498.729063,-766.471205,1.056856,1.000403,0.0267
151,promotion-heavy,2012-06-13,5480000,base-stale,1,3492991.206461,3516833.082871,23841.87641,0.006779,0.920732,0.077961,0.0,974,3514132.381407,2700.701464,0.886724,0.999232,0.0267
151,promotion-heavy,2012-06-13,7550000,base-stale,1,4693043.444094,4708237.114246,15193.670152,0.003227,0.92432,0.083832,0.0,1344,4709619.358953,-1382.244707,1.090975,1.000294,0.0267
151,promotion-heavy,2012-06-13,2760000,base-stale,3,1889715.148548,1903732.257858,14017.10931,0.007363,0.91498,0.086253,0.0,487,1904424.894944,-692.637086,1.049414,1.000364,0.031
151,promotion-heavy,2012-06-13,2760000,stronger-but-stale,3,1843420.576186,1903732.257858,60311.681672,0.031681,0.777328,0.215633,0.0,472,,,,,
151,promotion-heavy,2012-06-13,2760000,weaker-but-fresh,0,1909609.599975,1903732.257858,-5877.342117,-0.003087,0.657895,0.382749,0.0,455,,,,,
151,promotion-heavy,2012-06-13,5480000,base-stale,3,3492945.743929,3516833.082871,23887.338942,0.006792,0.91565,0.07946,0.0,973,3515113.171261,1719.91161,0.927999,0.999511,0.031
151,promotion-heavy,2012-06-13,5480000,stronger-but-stale,3,3472787.098398,3516833.082871,44045.984473,0.012524,0.811992,0.170915,0.0,959,,,,,
151,promotion-heavy,2012-06-13,5480000,weaker-but-fresh,0,3503855.725907,3516833.082871,12977.356964,0.00369,0.716463,0.286357,0.0,918,,,,,
151,promotion-heavy,2012-06-13,7550000,base-stale,3,4693352.904254,4708237.114246,14884.209992,0.003161,0.918442,0.08982,0.0,1346,4709614.079811,-1376.965565,1.092512,1.000292,0.031
151,promotion-heavy,2012-06-13,7550000,stronger-but-stale,3,4675952.288431,4708237.114246,32284.825815,0.006857,0.842028,0.14491,0.0,1329,,,,,
151,promotion-heavy,2012-06-13,7550000,weaker-but-fresh,0,4699755.086186,4708237.114246,8482.02806,0.001802,0.756796,0.22994,0.0,1273,,,,,
151,promotion-heavy,2012-06-13,2760000,base-stale,7,1883051.158667,1903732.257858,20681.099191,0.010863,0.902834,0.097035,0.004141,483,1894941.331255,8790.926603,0.574929,0.995382,0.0375
151,promotion-heavy,2012-06-13,5480000,base-stale,7,3489061.08017,3516833.082871,27772.002701,0.007897,0.898374,0.092954,0.002058,972,3512004.920138,4828.162733,0.82615,0.998627,0.0375
151,promotion-heavy,2012-06-13,7550000,base-stale,7,4685632.249501,4708237.114246,22604.864745,0.004801,0.899339,0.101796,0.001488,1344,4699476.081413,8761.032833,0.612427,0.998139,0.0375
151,promotion-heavy,2012-06-13,2760000,full-refresh,0,1903732.257858,1903732.257858,0.0,0.0,1.0,0.0,0.0,494,1903732.257858,0.0,1.0,1.0,1.0
151,promotion-heavy,2012-06-13,5480000,full-refresh,0,3516833.082871,3516833.082871,0.0,0.0,1.0,0.0,0.0,984,3516833.082871,0.0,1.0,1.0,1.0
151,promotion-heavy,2012-06-13,7550000,full-refresh,0,4708237.114246,4708237.114246,0.0,0.0,1.0,0.0,0.0,1361,4708237.114246,0.0,1.0,1.0,1.0
151,dormancy-heavy,2012-06-13,2760000,base-stale,0,1718206.493455,1718206.493455,0.0,0.0,1.0,0.0,0.0,454,1718206.493455,0.0,0.0,1.0,0.0
151,dormancy-heavy,2012-06-13,5480000,base-stale,0,3253870.293032,3253870.293032,0.0,0.0,1.0,0.0,0.0,864,3253870.293032,0.0,0.0,1.0,0.0
151,dormancy-heavy,2012-06-13,7550000,base-stale,0,4406472.037037,4406472.037037,0.0,0.0,1.0,0.0,0.0,1168,4406472.037037,0.0,0.0,1.0,0.0
151,dormancy-heavy,2012-06-13,2760000,base-stale,1,1700846.958677,1718206.493455,17359.534778,0.010103,0.878855,0.10992,0.0,445,1701351.699008,16854.794447,0.029076,0.99019,0.0108
151,dormancy-heavy,2012-06-13,5480000,base-stale,1,3245720.702083,3253870.293032,8149.590949,0.002505,0.916667,0.091514,0.0,858,3250218.004539,3652.288493,0.551844,0.998878,0.0108
