seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_relative_loss,partial_reopt_target_overlap,partial_reopt_missed_at_risk,partial_reopt_window_miss_rate,partial_reopt_selected_customers,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio,partial_reopt_target_overlap_recovery,partial_reopt_missed_at_risk_recovery,partial_reopt_window_miss_rate_recovery,random_refresh_policy_value,random_refresh_stale_regret,random_refresh_relative_loss,random_refresh_target_overlap,random_refresh_missed_at_risk,random_refresh_window_miss_rate,random_refresh_selected_customers,random_refresh_full_refresh_value_ratio,random_refresh_optimization_call_ratio,random_refresh_target_overlap_recovery,random_refresh_missed_at_risk_recovery,random_refresh_window_miss_rate_recovery,top_risk_refresh_policy_value,top_risk_refresh_stale_regret,top_risk_refresh_relative_loss,top_risk_refresh_target_overlap,top_risk_refresh_missed_at_risk,top_risk_refresh_window_miss_rate,top_risk_refresh_selected_customers,top_risk_refresh_full_refresh_value_ratio,top_risk_refresh_optimization_call_ratio,top_risk_refresh_target_overlap_recovery,top_risk_refresh_missed_at_risk_recovery,top_risk_refresh_window_miss_rate_recovery,top_value_refresh_policy_value,top_value_refresh_stale_regret,top_value_refresh_relative_loss,top_value_refresh_target_overlap,top_value_refresh_missed_at_risk,top_value_refresh_window_miss_rate,top_value_refresh_selected_customers,top_value_refresh_full_refresh_value_ratio,top_value_refresh_optimization_call_ratio,top_value_refresh_target_overlap_recovery,top_value_refresh_missed_at_risk_recovery,top_value_refresh_window_miss_rate_recovery
151,promotion-heavy,2025-03-26,5480000,base-stale,3,104216067.395917,102267479.751702,-1948587.644215,-0.019054,0.859259,0.221945,0.0,643,102209906.118731,57573.632971,0.000563,0.931852,0.087282,0.0,675.0,-1.029546,0.999437,0.082284,0.515791,0.60674,0.0,103976346.486446,-1708866.734744,-0.01671,0.871111,0.201995,0.0,650.0,1.01671,0.082284,0.084211,0.089887,0.0,104425395.036483,-2157915.284781,-0.021101,0.877037,0.194514,0.0,637.0,1.021101,0.082284,0.126317,0.123594,0.0,104509007.900912,-2241528.14921,-0.021918,0.872593,0.21197,0.0,655.0,1.021918,0.082284,0.094741,0.044944,0.0
151,promotion-heavy,2025-03-26,5480000,stronger-but-stale,3,106490979.520671,102267479.751702,-4223499.768969,-0.041299,0.851852,0.236908,0.007657,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,promotion-heavy,2025-03-26,5480000,weaker-but-fresh,0,65718021.610527,102267479.751702,36549458.141175,0.357391,0.725926,0.034913,0.0,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,promotion-heavy,2025-03-26,7550000,base-stale,3,120508550.157856,119254624.144898,-1253926.012958,-0.010515,0.841463,0.248288,0.0,960,119540719.230231,-286095.085333,-0.002399,0.895325,0.150685,0.0,979.0,-0.771841,1.002399,0.082284,0.339744,0.393104,0.0,120292777.615447,-1038153.470549,-0.008705,0.853659,0.22774,0.0,967.0,1.008705,0.082284,0.076928,0.082759,0.0,120581717.229008,-1327093.08411,-0.011128,0.856707,0.224315,0.0,962.0,1.011128,0.082284,0.096154,0.096553,0.0,120172292.818712,-917668.673814,-0.007695,0.85874,0.226027,0.0,990.0,1.007695,0.082284,0.108978,0.089658,0.0
151,promotion-heavy,2025-03-26,7550000,stronger-but-stale,3,122688688.722006,119254624.144898,-3434064.577108,-0.028796,0.811992,0.30137,0.005302,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,promotion-heavy,2025-03-26,7550000,weaker-but-fresh,0,87541578.120779,119254624.144898,31713046.024119,0.265927,0.75,0.044521,0.0,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,promotion-heavy,2025-03-26,2760000,base-stale,7,65439145.897515,63238871.323808,-2200274.573707,-0.034793,0.870968,0.171674,0.012461,321,63875103.868258,-636232.54445,-0.010061,0.932551,0.06867,0.008929,336.0,-0.710839,1.010061,0.079679,0.477269,0.599998,0.283444,65643963.488328,-2405092.16452,-0.038032,0.8739,0.167382,0.012422,322.0,1.038032,0.079679,0.022723,0.025001,0.00313,62508857.952318,730013.37149,0.011544,0.944282,0.04721,0.008955,335.0,0.988456,0.079679,0.568185,0.725002,0.281358,66013096.987328,-2774225.66352,-0.043869,0.888563,0.16309,0.01227,326.0,1.043869,0.079679,0.136362,0.050002,0.015328
151,promotion-heavy,2025-03-26,5480000,base-stale,7,104368599.200245,102267479.751702,-2101119.448543,-0.020545,0.862222,0.224439,0.006107,655,102447287.093607,-179807.341905,-0.001758,0.939259,0.082294,0.004317,695.0,-0.914423,1.001758,0.079679,0.559139,0.633335,0.293106,104386294.571532,-2118814.81983,-0.020718,0.86963,0.21197,0.006116,654.0,1.020718,0.079679,0.053768,0.055556,-0.001474,104871899.58057,-2604419.828868,-0.025467,0.882963,0.189526,0.004566,657.0,1.025467,0.079679,0.150539,0.155557,0.252333,104360205.867619,-2092726.115917,-0.020463,0.875556,0.209476,0.006051,661.0,1.020463,0.079679,0.096779,0.066668,0.00917
151,promotion-heavy,2025-03-26,7550000,base-stale,7,120089321.646998,119254624.144898,-834697.5021,-0.006999,0.837398,0.253425,0.004061,985,118836639.73443,417984.410468,0.003505,0.887195,0.159247,0.003003,999.0,-1.500762,0.996495,0.079679,0.306251,0.371621,0.260527,120091151.22733,-836527.082432,-0.007015,0.849593,0.232877,0.004086,979.0,1.007015,0.079679,0.074999,0.081081,-0.006156,120175709.478097,-921085.333199,-0.007724,0.852642,0.22774,0.003043,986.0,1.007724,0.079679,0.09375,0.101351,0.250677,119679864.09206,-425239.947162,-0.003566,0.840447,0.255137,0.004065,984.0,1.003566,0.079679,0.018751,-0.006755,-0.000985
151,promotion-heavy,2025-03-26,2760000,full-refresh,0,63238871.323808,63238871.323808,0.0,0.0,1.0,0.0,0.0,341,63238871.323808,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0
151,promotion-heavy,2025-03-26,5480000,full-refresh,0,102267479.751702,102267479.751702,0.0,0.0,1.0,0.0,0.0,675,102267479.751702,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0
151,promotion-heavy,2025-03-26,7550000,full-refresh,0,119254624.144898,119254624.144898,0.0,0.0,1.0,0.0,0.0,984,119254624.144898,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0,,,0.0,1.0,0.0,0.0,,1.0,,1.0,1.0,1.0
